species,age,count
tiger,52,1
leopard,,6
dinosaur,18,7
red-panda,21,5
other-bear,16,3
raven,38,1
bat,38,1
other-bear,39,1
horse,42,3
deer,42,1
brown-bear,42,1
raccoon,49,4
other-bird,22,4
brown-bear,44,1
polar-bear,44,1
rabbit,44,1
lion,33,2
cougar,33,2
other-ungulate,39,1
lizard,18,11
othercanine,15,14
kitsune,34,2
coyote,34,2
mouse,34,1
domestic-cat,56,1
skunk,55,1
other-musteloid,17,3
polar-bear,17,13
bat,52,3
other-reptile,32,1
cheetah,11,1
squirrel,16,7
polar-bear,20,6
raptor,20,11
weasel,23,4
sea-otter,21,2
weasel,21,8
raven,21,3
badger,,1
cougar,54,2
squirrel,19,11
raven,19,8
lemur,19,8
horse,53,1
othercanine,17,21
bat,16,14
horse,23,8
raven,,6
raptor,,6
other-bird,,6
red-fox,14,27
grey-fox,14,11
arctic-fox,14,13
coyote,14,7
german-shep,14,11
collie,14,3
other-dog,14,10
othercanine,14,6
cheetah,14,7
cougar,14,3
red-panda,14,4
deer,14,3
other-ungulate,14,2
bat,14,10
griffin,14,7
cougar,17,9
other-feline,38,1
rat,17,7
panther,34,1
other-ungulate,20,6
other-dog,31,2
other-fox,36,1
wolf,51,2
sea-otter,17,13
badger,18,5
lemur,,3
tiger,14,13
monkey,18,4
raven,16,12
rabbit,16,14
mouse,23,4
other-reptile,42,1
griffin,42,1
lizard,16,14
grey-fox,20,13
lion,14,9
leopard,14,9
panther,14,3
horse,14,5
kangaroo,41,1
other-musteloid,34,1
other-fox,40,2
other-mustelid,40,1
monkey,17,4
dinosaur,26,1
other-musteloid,26,2
other-primate,26,1
sea-otter,39,1
rabbit,15,7
mouse,28,2
raccoon,29,2
cheetah,58,1
red-panda,27,2
red-panda,15,3
german-shep,46,2
river-otter,30,3
skunk,17,7
deer,23,5
grizzly-bear,19,7
other-dog,15,13
lion,40,1
other-primate,20,1
monkey,23,1
other-ungulate,38,1
raccoon,40,2
other-fox,,5
weasel,17,14
lion,27,6
dinosaur,17,13
brown-bear,15,4
polar-bear,15,5
other-primate,18,1
coyote,54,2
other-bear,24,1
other-mustelid,16,7
kangaroo,15,3
red-fox,49,1
lion,16,17
rat,19,6
koala,22,1
lemur,22,5
other-mustelid,20,4
coyote,17,10
lizard,17,10
badger,17,4
other-mustelid,17,4
red-panda,17,5
deer,17,7
brown-bear,17,9
other-bear,17,4
squirrel,17,8
koala,17,2
othermarsupial,17,5
lemur,17,3
other-primate,17,1
other-bear,30,4
mouse,15,11
hyena,34,1
deer,11,1
badger,27,1
other-reptile,15,7
red-panda,23,3
other-primate,22,4
brown-bear,51,1
husky,36,3
lemur,18,5
panther,43,1
domestic-cat,43,1
panther,16,10
pandabear,,5
rat,,2
bat,30,1
red-fox,43,1
other-dog,43,2
grizzly-bear,25,6
german-shep,18,9
mouse,26,4
raptor,30,2
raptor,15,9
brown-bear,18,2
othermarsupial,18,4
tiger,41,1
lion,49,2
other-reptile,49,1
grizzly-bear,49,1
rabbit,49,1
red-fox,45,1
rabbit,45,1
other-primate,15,1
grizzly-bear,18,3
wolf,13,20
grizzly-bear,41,1
badger,16,5
polar-bear,24,1
panther,37,1
leopard,15,10
other-mustelid,18,8
domestic-cat,12,3
monkey,19,2
other-primate,19,1
other-bear,20,4
panther,32,1
squirrel,14,4
kangaroo,14,4
other-bear,32,1
othermarsupial,30,2
other-feline,15,9
badger,20,2
koala,20,2
rat,32,2
kitsune,29,3
badger,23,1
mouse,14,4
other-bear,15,4
sea-otter,22,3
brown-bear,22,1
badger,14,1
other-primate,,3
other-bear,19,4
brown-bear,16,4
leopard,16,8
raccoon,13,2
wolf,54,3
other-reptile,29,1
skunk,29,4
sea-otter,29,1
brown-bear,29,1
polar-bear,29,2
kangaroo,29,1
monkey,29,1
other-bird,14,3
hyena,16,8
domestic-cat,50,4
raven,27,1
collie,31,1
collie,16,4
pandabear,16,7
griffin,16,8
arctic-fox,13,7
leopard,13,3
arctic-fox,,11
other-musteloid,,1
polar-bear,,3
othermarsupial,,2
grizzly-bear,29,1
river-otter,14,4
rabbit,14,7
panther,50,1
husky,12,3
dinosaur,16,4
pandabear,36,1
panther,60,1
domestic-cat,60,1
other-feline,60,1
other-mustelid,60,1
red-panda,60,1
other,60,1
lemur,60,1
dinosaur,35,1
badger,19,4
lizard,14,2
kangaroo,16,7
koala,16,3
red-panda,20,5
kangaroo,,2
polar-bear,16,5
rat,16,2
othermarsupial,16,4
monkey,16,2
other-primate,16,2
other-fox,49,1
red-fox,57,1
coyote,57,1
hyena,57,1
kangaroo,18,6
kitsune,22,8
other-feline,48,1
red-fox,35,2
skunk,,3
german-shep,44,1
other-dog,44,1
other,44,3
coyote,35,1
other-fox,12,2
other,12,3
cheetah,,4
mouse,,2
monkey,,2
othercanine,48,1
mouse,27,2
other-bear,14,1
domestic-cat,38,1
other-mustelid,32,1
river-otter,52,2
cougar,35,1
othermarsupial,24,1
collie,13,2
lizard,27,1
horse,54,1
raptor,14,4
other-feline,44,1
polar-bear,31,1
lizard,15,5
cougar,30,1
german-shep,36,1
lion,36,1
grey-fox,13,4
